Nodo01
Fecha: 01/01/00
Hora: 00:03:13
NanoSegundos: 279885525 ns

     Eje X     Eje Y     Eje Z
         0	         0	         0
      4081	      -119	     77982
     -1026	     -9525	    222977
     -3536	     -7977	    219175
     -3371	     -7446	    212436
     -3318	     -6687	    205548
      -849	     -8828	    200397
      -723	     -9347	    192064
      -180	     -8827	    185004
       224	     -7571	    180297
      2015	     -7309	    177120
      5862	     -8946	    174842
      7524	     -6892	    174142
    -10680	    -38637	    163043
    -44055	    -28355	    259920
     13207	     41429	    331052
     20186	    -51489	     77484
    -19181	      2442	     43030
     76122	     12070	    121940
     19957	    -70253	    -33424
     40097	    -19505	    169303
     23443	     -4406	    210921
     31761	     -8688	    215605
     36363	    -28566	    190161
     42454	    -36793	    191663
     33636	    -23090	    185038
     31761	    -24515	    178969
     21500	    -10276	    179327
     21246	    -10235	    177774
     23138	    -15172	    169918
     11064	      4801	    175515
     12259	      3652	    172779
     14463	     -1513	    165809
     11636	      3429	    167033
     11650	      3037	    162812
     13523	       647	    161811
      9714	      7888	    167308
      9630	      8496	    170761
      7103	     12033	    162308
      5015	     10562	    150411
      1410	     13143	    142807
     -4804	     20068	    131483
      8829	      6731	    149171
     -2376	     18606	    135256
      4819	      8928	    131344
      9056	      6118	    138880
      1142	     15745	    133245
      8621	      6854	    132294
     17316	      -801	    145849
      9394	      5194	    131409
     13780	      -115	    127344
     16381	     -5949	    122555
     10151	      2583	    125208
      9868	      5591	    126399
     15074	     -3395	    126633
      5575	      6985	    119656
      5865	      3959	    110723
     12020	     -2973	    115445
     -5464	     15841	    101698
      4043	      4363	    105154
      6321	      3390	    111475
     -6129	     16504	     96610
     11766	     -5532	    103550
      3714	      6579	    105066
      1578	     11964	    105140
     16657	     -7977	    113595
      7643	      1898	     98128
      8983	      1008	     97823
     14467	     -7336	     94546
      7883	      1932	     92692
      9682	      -140	     92083
     13186	     -5844	     90325
      7726	      1836	     89195
      6367	      3236	     88909
      7592	      5624	     99010
      4134	      7238	     87604
      2549	      7076	     82758
       892	      8667	     78825
      1250	      7939	     78771
      1462	      7651	     78455
       -52	      8763	     75539
       594	      7472	     75119
      1070	      6419	     74478
      -324	      7184	     71680
       930	      5145	     71826
      2358	      4443	     74875
      7250	       361	     85828
      5469	     -2424	     73256
      6156	     -3873	     68179
      8506	     -6264	     67007
      6312	     -2577	     69240
      7110	     -4206	     65280
      8962	     -6180	     64277
      6592	     -2477	     65444
      6958	     -3072	     64279
      6409	      1710	     72654
      3220	      5460	     63028
      4417	      3124	     59681
      1063	      6687	     56325
       892	      7438	     55030
      3034	      5058	     56727
      1323	      6996	     54070
       522	      7524	     52087
      2686	      5083	     53496
       970	      5862	     50858
      5338	      4896	     61374
      8338	     -3903	     57971
      4091	      1274	     51282
      7107	     -3759	     50706
      7067	     -4385	     49537
      4221	      -633	     49637
      6119	     -4106	     47271
      5179	     -3796	     48281
     -2121	      8455	     51427
      4057	      -865	     48368
       188	      3505	     47067
     -5727	      9407	     38481
      1249	      1101	     41381
       428	      3387	     44918
     -4307	      7773	     37007
      -490	      4089	     39260
      5392	       -53	     49109
      2182	      1687	     44157
      3929	      -477	     40887
      7211	     -5347	     38844
      4752	     -1437	     39151
      4991	     -1589	     38711
      5904	     -3242	     39820
         7	      7595	     40277
      3890	       469	     35982
      1703	      2970	     35159
     -1601	      6465	     30416
      2165	      2327	     32136
      3137	      2333	     35224
      3693	      2649	     37235
      6242	     -2791	     35459
      5775	     -2297	     31954
      6615	     -3729	     31528
      6062	     -3176	     31632
      3072	       893	     32808
      2393	      2538	     32318
      2158	      1815	     31384
     -2888	      6382	     25270
     -1675	      4435	     25253
      1145	      2113	     29929
       413	      2705	     30126
      1553	      -212	     29483
      3202	     -3203	     27193
      2704	     -3016	     27028
       410	       240	     28013
      -379	      1392	     27175
      -879	      2295	     27458
     -3717	      4134	     22298
     -3220	      4193	     22350
       977	       245	     27228
       322	       770	     25192
      1248	      -231	     24347
      4650	     -4678	     24223
      1497	       875	     23575
      1249	      1890	     22986
      1913	      2136	     23623
     -1107	      5754	     19497
      1211	      4265	     21495
      3798	       788	     22328
      2580	      2803	     21081
      5214	      -915	     21387
      4901	      -616	     20792
      2482	      2953	     19775
      3290	      1531	     20045
      1288	      3795	     18635
      1193	      3237	     18255
      2875	       331	     19096
      2285	       278	     18305
      3303	     -2120	     18884
      2877	     -2207	     18393
      1143	      -416	     17582
       982	      -914	     17955
      -618	       659	     16952
      -567	      -149	     16529
       361	     -1754	     17094
       -17	     -1238	     16405
      1156	     -3113	     16555
       633	     -1905	     16449
      -484	       -60	     15583
      -132	      -265	     15732
     -1287	      2084	     15020
      -667	      1740	     14635
       528	       549	     15024
       214	      1646	     14484
      1462	       251	     14456
      1275	      1115	     14289
       388	      2867	     13635
      1005	      2195	     13746
       228	      3392	     13133
       637	      2831	     12940
      1738	      1146	     13049
      1396	      1385	     12520
      1989	       255	     12497
      1757	       195	     12201
       907	      1156	     11797
      1058	       565	     11788
       648	       768	     11489
       887	       151	     11450
      1413	      -869	     11645
      1217	      -857	     11205
      1341	     -1200	     11384
       993	      -665	     11164
       467	       -24	     10815
       400	        43	     10738
       181	       339	     10408
       644	      -252	     10411
       951	      -615	     10401
       902	      -524	     10160
      1135	      -720	     10044
       601	       222	      9564
       447	       718	      9305
       603	       741	      9470
       424	      1246	      9215
       813	       641	      9061
      1019	       406	      9111
       843	       859	      8952
       966	       687	      8803
       549	      1320	      8602
       256	      1694	      8299
       372	      1277	      8113
       232	      1416	      7937
       418	       824	      7795
       600	       310	      7740
       340	       429	      7637
       259	       332	      7744
       -11	       493	      7512
      -267	       571	      7270
      -139	       190	      7259
       -25	      -131	      7155
       143	      -506	      7222
       213	      -794	      6988
       200	      -764	      6858
       128	      -606	      6781
        45	      -368	      6696
       134	      -377	      6495
       226	      -389	      6488
       566	      -574	      6235
       895	      -762	      6067
       902	      -509	      5953
       954	      -275	      5759
       984	        -7	      5671
       878	       507	      5608
      1037	       492	      5429
      1148	       506	      5487
      1144	       640	      5470
      1351	       450	      5410
      1236	       721	      5311
      1005	      1036	      5242
       855	      1098	      5170
       538	      1375	      5100
       429	      1282	      5089
       406	       912	      5104
       272	       884	      5016
       242	       641	      4974
        56	       449	      4878
      -235	       582	      4843
      -340	       457	      4690
      -449	       336	      4608
      -524	       145	      4424
      -459	      -220	      4431
      -381	      -367	      4306
      -422	      -391	      4325
      -420	      -445	      4225
      -470	      -396	      3921
      -432	      -368	      3857
      -338	      -408	      3737
      -154	      -453	      3686
        15	      -497	      3671
       251	      -517	      3704
       334	      -434	      3739
       387	      -137	      3722
       527	       -63	      3580
       640	        61	      3606
       736	        94	      3451
       910	       -22	      3416
       982	        68	      3516
      1006	        14	      3448
      1009	       113	      3350
       870	       242	      3275
       798	       300	      3310
       761	       251	      3247
       712	       196	      3107
       660	        52	      2989
       564	        12	      2973
       469	        16	      2973
       307	        60	      2939
       202	        11	      2844
       127	        97	      2842
        65	        13	      2687
        91	       -61	      2584
        80	        -4	      2558
        48	        21	      2514
        48	        89	      2469
       -64	       270	      2475
       -17	       291	      2509
         0	       312	      2462
       -18	       374	      2420
       163	       289	      2527
       222	       288	      2430
       268	       391	      2414
       255	       432	      2398
       233	       498	      2434
       254	       486	      2422
       294	       417	      2293
       320	       481	      2297
       357	       383	      2288
       305	       331	      2193
       237	       327	      2071
       197	       253	      2038
        43	       301	      2026
       -87	       233	      2016
      -173	       114	      1917
      -227	        70	      1932
      -336	       -38	      1817
      -421	      -134	      1850
      -541	      -115	      1801
      -738	       -98	      1647
      -750	      -275	      1633
      -742	      -264	      1627
      -693	      -301	      1556
      -590	      -431	      1642
      -517	      -433	      1672
      -402	      -397	      1546
      -261	      -381	      1533
      -131	      -364	      1584
       -23	      -254	      1466
       132	      -285	      1471
       345	      -321	      1491
       502	      -313	      1547
       739	      -315	      1446
       846	      -119	      1440
       933	        41	      1388
      1045	       177	      1436
      1135	       322	      1463
      1220	       333	      1403
      1305	       404	      1392
      1217	       528	      1378
      1121	       529	      1353
      1083	       642	      1341
       915	       639	      1459
       851	       553	      1414
       646	       479	      1351
       450	       387	      1262
       263	       230	      1269
        77	        37	      1172
      -134	       -47	      1099
      -310	      -309	      1046
      -480	      -460	      1030
      -677	      -630	      1018
      -736	      -718	      1060
      -802	      -767	      1047
      -794	      -843	       995
      -766	      -802	       861
      -902	      -544	       738
      -813	      -529	       850
      -729	      -398	       822
      -653	      -186	       827
      -461	       -62	       864
      -332	        59	      1007
      -224	       208	       922
       -70	       303	       952
       -39	       382	       967
        57	       471	       950
        94	       424	       841
       106	       344	       764
       239	       290	       906
       241	       201	       877
       321	        98	       848
       235	        83	       848
       204	        11	       870
       187	        46	       890
       113	        44	       900
        72	        69	       838
       122	       122	       750
       136	       120	       787
       139	       166	       821
       159	       194	       707
       195	       320	       726
       229	       401	       658
       263	       443	       642
       238	       433	       476
       281	       462	       554
       350	       461	       524
       341	       540	       633
       424	       458	       499
       425	       441	       365
       408	       378	       436
       371	       237	       499
       327	       135	       474
       306	        -1	       541
       265	      -163	       574
       233	      -271	       624
       136	      -421	       619
        75	      -570	       482
        81	      -702	       489
       -62	      -820	       393
      -111	      -912	       378
      -127	      -972	       496
      -121	      -999	       519
      -151	      -962	       510
      -215	      -831	       496
      -257	      -657	       677
      -207	      -618	       606
      -223	      -475	       645
      -266	      -348	       535
      -292	      -223	       469
      -288	       -38	       510
      -277	       112	       438
      -232	       235	       417
      -362	       384	       503
      -342	       459	       519
      -284	       546	       451
      -282	       672	       559
      -366	       742	       421
      -341	       840	       379
      -292	       924	       196
      -279	       912	       223
      -173	       921	       290
      -105	       948	       222
        -9	       896	       248
        65	       853	       264
       142	       739	       278
       195	       669	       259
       230	       489	       158
       288	       389	       133
       387	       240	       218
       472	        56	       335
       517	      -117	       327
       546	      -262	       418
       571	      -412	       409
       522	      -628	       399
       461	      -788	       376
       469	      -883	       346
       380	     -1034	       292
       317	     -1071	       302
       258	     -1102	       314
       160	     -1087	       342
        77	      -990	       347
        13	      -830	       274
      -131	      -673	       227
      -117	      -489	       255
      -245	      -365	       148
      -308	      -161	       184
      -367	        19	       143
      -395	       191	       228
      -441	       392	       202
      -453	       575	       245
      -369	       748	       288
      -397	       865	       333
      -394	       973	       278
      -395	      1031	       184
      -326	      1038	       212
      -280	       989	       189
      -211	       952	       172
      -140	       848	       172
       -54	       813	       259
        34	       671	       112
        75	       480	       130
       170	       324	       167
       286	       128	       184
       270	       -80	       123
       395	      -263	       141
       426	      -454	        96
       453	      -533	        86
       537	      -586	       159
       516	      -625	       172
       535	      -613	       218
       439	      -602	       277
       499	      -569	       278
       498	      -503	       299
       423	      -430	       256
       400	      -339	       281
       359	      -215	       251
       251	      -114	       304
       156	       -45	       140
        89	       -42	       190
         2	        28	       281
      -125	        80	       208
      -279	        39	        93
      -467	        59	        43
      -544	       -15	        43
      -622	       -38	         1
      -763	      -104	        49
      -791	       -77	       -76
      -923	      -187	       -70
      -903	      -262	       -12
      -899	      -159	        53
      -893	      -170	        -3
      -814	       -95	        84
      -710	       -54	        61
      -514	        31	       196
      -283	       122	       139
       -86	       194	        60
        98	       314	       125
       333	       433	       259
       593	       499	       182
       763	       589	       158
       936	       564	       236
      1047	       589	       260
      1174	       503	       106
      1170	       442	       100
      1145	       350	        83
      1151	       216	        58
      1043	        36	        75
       908	      -174	        75
       703	      -348	       177
       455	      -571	       131
       150	      -757	        54
       -47	      -971	        89
      -293	     -1021	        10
      -500	     -1054	       149
      -668	     -1055	        17
      -789	      -991	        68
      -892	      -881	        57
      -894	      -652	       134
      -853	      -479	        97
      -818	      -287	        29
      -763	       -11	        89
      -660	       211	        -4
      -535	       374	         9
      -424	       636	       -22
      -236	       744	       -44
      -152	       902	       -34
       -30	       913	       -27
        85	       896	       -26
       194	       885	        33
       286	       823	        33
       360	       753	       -27
       466	       699	        45
       402	       520	        -3
       408	       482	        -9
       392	       366	        80
       410	       367	        84
       337	       289	       100
       269	       187	        89
       251	       150	       214
       200	        65	       231
        88	        12	       277
       122	       -58	       197
        83	       -14	       176
        40	         3	       272
       113	         8	       244
       189	        70	       231
       181	       103	       281
       176	       167	       157
       165	       210	       164
       214	       190	       103
       163	       197	       -94
        57	       101	       -52
        64	        35	      -106
        30	      -149	       -55
       -78	      -250	      -100
      -132	      -406	       -44
      -175	      -613	       -66
      -275	      -733	        12
      -369	      -825	      -132
      -408	      -829	        -1
      -482	      -860	        -3
      -520	      -778	       -58
      -536	      -631	       -28
      -488	      -476	       -96
      -385	      -233	       -58
      -341	        -3	         4
      -270	       234	       -36
      -152	       467	       -63
       -39	       742	      -218
        76	       926	      -126
       181	      1132	       -11
       312	      1225	        14
       353	      1222	        48
       496	      1147	       206
       637	      1005	       180
       618	       702	       125
       490	       120	       170
       328	      -453	       285
       264	      -927	       234
       147	     -1178	       128
       -40	     -1610	       343
      -283	     -1980	        48
      -599	     -1897	       220
      -652	     -2088	       359
      -817	     -1730	       121
      -864	     -1359	       153
      -755	     -1181	       172
      -895	      -562	       -89
      -856	      -431	      -203
      -893	       -71	      -192
      -912	       417	      -115
      -710	       525	       -90
      -563	       962	      -278
      -349	      1281	      -292
      -128	      1379	       -51
       -23	      1582	      -336
       156	      1297	      -284
       373	      1276	      -204
       430	      1320	      -269
       601	       910	       -93
       656	       812	       212
       704	       568	       227
       693	       319	       229
       630	       137	       242
       617	      -138	       273
       533	      -309	       142
       512	      -428	       260
       542	      -821	       370
       471	      -786	       231
       475	      -940	       284
       462	     -1069	       395
       373	      -982	       365
       397	     -1066	       289
       369	     -1046	       108
       313	      -986	        46
       349	     -1071	       132
       260	      -982	       -14
       351	      -925	       -12
       361	      -938	       -42
       237	      -824	      -142
       197	      -834	      -229
       171	      -710	      -398
        45	      -631	      -494
         7	      -561	      -451
      -104	      -412	      -226
      -131	      -299	      -341
      -266	      -156	      -239
      -319	       -15	       -56
      -380	       142	       -78
      -491	       367	       -90
      -528	       488	       -69
      -594	       665	       -37
      -686	       816	        -1
      -576	       961	       127
      -593	      1163	       187
      -490	      1229	       219
      -404	      1258	       206
      -439	      1340	       170
      -281	      1335	       123
      -180	      1341	       122
       -66	      1260	       106
       104	      1159	       160
       228	      1138	       187
       390	      1088	       188
       461	       863	       201
       571	       809	       107
       640	       676	       145
       714	       561	        59
       717	       531	        51
       766	       480	        63
       806	       431	        87
       756	       328	        17
       728	       289	       114
       607	       300	       107
       546	       284	       162
       476	       353	       -43
       388	       323	       -56
       259	       231	      -202
       115	       138	      -214
      -113	        81	      -136
      -232	       -84	      -258
      -452	      -186	      -222
      -583	      -326	      -250
      -715	      -402	      -182
      -723	      -580	      -380
      -860	      -728	      -333
      -972	      -959	      -221
      -959	     -1152	      -104
      -881	     -1296	        38
      -837	     -1380	        49
      -723	     -1416	       258
      -627	     -1440	       286
      -506	     -1354	       280
      -467	     -1219	       242
      -329	     -1097	       203
      -168	      -933	       250
         0	      -837	       279
       252	      -657	       220
       244	      -386	       154
       391	      -203	       105
       450	       -49	        63
       467	       166	       -99
       545	       364	      -138
       573	       459	      -238
       545	       545	      -304
       553	       656	      -210
       473	       676	      -299
       376	       781	      -325
       264	       746	       -83
       147	       764	      -162
        -7	       904	       -84
       -86	       754	        78
      -201	       718	        54
      -328	       737	       292
      -292	       512	       207
      -485	       631	       173
      -445	       412	       452
      -390	       318	       376
      -583	       463	       304
      -406	        89	       363
      -477	       203	       278
      -369	       154	       316
      -231	       -90	       281
      -258	        99	        99
        -6	      -147	       -26
       118	      -239	        10
       173	      -179	      -324
       282	      -334	      -244
       354	      -358	      -437
       435	      -379	      -307
       563	      -512	      -393
       513	      -463	      -396
       681	      -663	      -354
       541	      -594	      -232
       501	      -637	      -377
       520	      -722	      -157
       430	      -709	      -197
       260	      -726	        87
       232	      -808	       -78
        20	      -613	        32
         8	      -774	       115
      -165	      -535	       138
      -327	      -480	        -7
      -457	      -414	       159
      -662	      -176	       277
      -634	      -148	       299
        -9	        -5	        69
        -4	       -31	        66
       -56	        -7	        69
      -111	        40	        14
       -50	       -29	         7
       -79	        -8	       -20
       -26	       -25	        -3
       -33	       -36	        38
        55	       -23	       -33
        43	       -36	       -38
       -20	       -20	        23
       -28	        10	        18
        83	       -69	        -1
        42	         3	         0
       -20	       -16	       -27
        36	       -71	        23
        28	       -29	        -5
        33	        19	        94
        95	         2	        72
        12	       -20	       -59
        46	       -50	       -16
        36	        -1	       -27
        18	       -15	        80
       131	        21	        45
       -10	       -29	        40
        58	       -19	        64
        47	        -9	        26
       -14	       -22	        86
       -32	        22	        52
       -31	        33	       -84
       -93	        76	       -18
       -51	        67	       -21
       -54	       117	       -89
       -13	        43	         5
       -64	        70	        66
       -44	        79	        20
        11	         1	       -30
       -45	        23	       -14
        -3	         1	       -15
       -85	        18	         7
       -70	        -4	        -9
        21	         4	        88
       -10	        -4	       105
       -19	        -8	       139
        30	       -84	       106
       -52	         4	        69
        37	       -46	        81
        41	       -46	        18
        35	       -46	        24
        84	       -99	        56
        27	       -78	       110
         4	      -153	       124
         3	       -32	       141
        58	        -1	        76
        45	       -23	        36
        73	       -44	       -45
       933	      1814	       281
      1005	      1607	       217
      1070	      1542	       311
       983	      1384	       184
       996	      1241	        89
       992	      1241	       118
       917	      1019	        44
       837	       935	       -16
       775	       833	        94
       736	       666	        57
       654	       531	       -39
       580	       381	       -57
       428	       123	       -92
       350	      -105	      -184
       228	      -234	      -242
        69	      -481	      -206
       -54	      -812	      -321
      -167	     -1007	      -101
      -113	     -1282	      -176
      -363	     -1412	      -190
      -445	     -1636	        64
      -481	     -1819	        15
      -661	     -1846	        80
      -624	     -2083	       171
      -701	     -2052	       377
      -742	     -2014	       533
      -720	     -2046	       577
      -831	     -1863	       474
      -700	     -1896	       497
      -722	     -1733	       500
      -642	     -1604	       369
      -471	     -1525	       424
      -392	     -1400	       240
      -267	     -1341	       212
       -85	     -1292	       211
        29	     -1110	        95
       195	      -999	        63
       340	      -952	        16
       515	      -915	      -230
       638	      -902	      -395
       691	      -803	      -474
       745	      -789	      -663
       798	      -723	      -542
       785	      -533	      -730
       774	      -398	      -829
       773	      -243	      -800
       655	        54	      -872
       583	       217	      -750
       575	       295	      -570
       471	       596	      -628
       316	       857	      -181
       293	       927	       -98
        54	      1299	       -12
       -58	      1316	       382
      -142	      1513	       291
      -401	      1791	       338
      -461	      1666	       626
      -681	      1833	       636
      -733	      1886	       668
      -754	      1755	       783
      -869	      1936	       682
      -821	      1730	       750
      -851	      1864	       670
      -813	      1952	       552
      -667	      1890	       530
      -601	      2168	       269
      -489	      2143	       105
      -323	      2195	        58
      -198	      2381	       -66
       115	      2406	      -130
       167	      2572	      -443
       300	      2544	      -571
       446	      2442	      -698
       432	      2428	      -808
       649	      2088	      -777
       732	      1762	      -711
       740	      1464	      -485
       828	       803	      -292
       772	       382	      -148
       650	      -159	       -95
       544	      -671	        41
       326	     -1129	        22
       248	     -1722	       137
        86	     -2082	       262
       -62	     -2373	       328
      -111	     -2777	       349
      -344	     -2924	       408
      -370	     -3008	       509
      -518	     -3055	       467
      -694	     -3006	       335
      -781	     -2909	       458
      -818	     -2667	       400
      -745	     -2477	       273
      -827	     -2176	       153
      -797	     -1835	       132
      -783	     -1584	        81
      -772	     -1176	       -34
      -738	      -881	      -177
      -576	      -639	      -237
      -538	      -296	      -298
      -427	      -101	      -312
      -390	       -57	      -303
      -354	       136	      -260
      -167	       144	      -169
       -60	       187	      -141
        43	       182	        63
       219	        38	        77
       341	        82	        51
       423	       126	       197
       614	        67	       232
       582	        88	       153
       720	        52	       168
       780	       194	       233
       806	       272	        72
       926	       348	        36
       829	       529	        56
       837	       625	       -51
       743	       740	       -65
       642	       838	       -42
       568	       896	        10
       524	       850	      -147
       450	       765	      -209
       270	       699	      -349
       105	       586	      -442
        58	       466	      -404
      -122	       349	      -270
      -183	       102	      -371
      -257	       -93	      -257
      -299	      -130	      -212
      -360	      -389	       -17
      -478	      -433	       -58
      -548	      -398	       280
      -495	      -509	        54
      -588	      -294	       155
      -466	      -273	       317
      -435	      -132	       295
      -479	        94	       303
      -301	       170	       211
      -334	       575	        30
      -254	       707	       446
       -93	       869	        90
      -147	      1246	        81
       105	      1032	       122
       100	      1250	       -97
       132	      1278	      -250
       292	       981	      -274
       270	      1150	      -243
       402	       774	      -273
       388	       646	      -341
       411	       550	      -420
       569	       125	       -78
       480	        23	       -48
       530	      -226	        14
       595	      -599	        53
       448	      -540	        -4
       473	      -741	        85
       388	      -755	       338
       357	      -757	       493
       436	      -893	       462
       267	      -671	       405
       229	      -741	       554
       125	      -608	       488
       -29	      -382	       435
       -63	      -451	       349
      -255	      -201	       257
      -389	      -190	       180
      -373	      -220	       157
      -567	       -84	        19
      -629	      -192	       -61
      -731	      -204	      -162
      -864	      -182	      -264
      -842	      -332	      -369
      -917	      -246	      -341
      -872	      -363	      -301
      -800	      -563	      -377
      -822	      -605	      -424
      -661	      -800	      -401
      -625	      -747	      -415
      -478	      -856	      -341
      -338	      -873	      -370
      -219	      -763	      -355
       -30	      -827	      -189
       161	      -744	       -68
       225	      -650	      -106
       356	      -634	      -112
       438	      -375	        -9
       527	      -334	        14
       652	      -222	        91
       646	       -49	       182
       712	       -17	       269
       652	        64	       267
       653	       178	       327
       611	       216	       414
       400	       347	       313
       406	       342	       194
       310	       363	       210
       234	       477	       149
       182	       337	       125
        66	       501	        53
       -40	       514	       129
      -122	       548	       -30
      -248	       725	        51
      -254	       730	        75
      -340	       816	       -55
      -381	       814	       -56
      -318	       811	       -81
      -415	       929	        -9
      -367	       899	      -117
      -400	       952	      -160
      -359	       906	       -13
      -262	       810	       -41
      -281	       845	       -75
      -212	       668	       -28
      -199	       542	        47
      -140	       439	         8
       -39	       178	      -129
        71	        22	      -156
        67	      -149	       -71
       122	      -389	      -120
        95	      -464	      -158
       195	      -682	      -102
       208	      -827	      -105
       193	      -910	         3
       170	     -1038	       -62
       177	     -1062	      -176
        87	     -1114	      -107
       142	     -1147	       -92
       124	     -1054	       -57
        60	     -1039	       -82
        40	      -869	       -37
        19	      -798	       105
        34	      -752	        98
       -34	      -547	       -57
        14	      -439	       193
        -3	      -223	       237
       -87	       -17	       155
       -72	       141	       125
       -71	       299	       216
       -88	       400	       194
       -59	       610	       190
       -44	       868	       213
        55	      1027	        86
        60	      1191	        82
       104	      1337	       166
       186	      1434	        77
       191	      1613	       -42
       240	      1603	       -71
       246	      1614	       -39
       274	      1577	      -132
       379	      1544	      -101
       444	      1508	      -219
       332	      1350	      -298
       327	      1154	      -319
       293	       849	      -285
       275	       615	      -404
       251	       316	      -248
       205	         6	      -202
       116	      -247	       -99
        70	      -462	        63
        68	      -700	        86
       -22	      -843	       189
       -34	     -1014	       246
       -97	     -1172	       181
      -206	     -1242	       180
      -217	     -1288	       266
      -180	     -1306	       253
      -197	     -1281	       161
      -228	     -1248	       140
      -254	     -1192	       145
      -279	     -1131	        74
      -363	     -1052	         8
      -336	      -975	        57
      -355	      -931	       -55
      -343	      -844	      -147
      -349	      -712	      -155
      -344	      -667	      -147
      -339	      -689	      -226
      -354	      -665	      -171
      -360	      -527	       -99
      -340	      -479	      -101
      -300	      -479	      -180
      -296	      -420	      -245
      -234	      -245	      -213
      -206	       -89	       -68
       -97	         0	      -128
       -83	       140	       -61
       -64	       324	       -60
        24	       513	        49
        70	       704	        51
