     Eje X     Eje Y     Eje Z
 -0.042027  0.050090  1.005082
 -0.041859  0.049688  1.005668
 -0.042336  0.049883  1.005719
 -0.042922  0.050031  1.005570
 -0.043398  0.050250  1.004625
 -0.043430  0.050137  1.004969
 -0.044289  0.050523  1.005070
 -0.043191  0.050422  1.003895
 -0.043078  0.050500  1.004277
 -0.042723  0.050320  1.004516
 -0.042289  0.050465  1.004262
 -0.041910  0.049812  1.004848
 -0.042098  0.049492  1.004770
 -0.045742  0.051117  1.005258
 -0.044875  0.051684  1.005973
 -0.044039  0.052184  1.005902
 -0.042867  0.052027  1.005617
 -0.042258  0.052660  1.005344
 -0.040965  0.052699  1.004641
 -0.040020  0.052957  1.004621
 -0.044871  0.049359  1.005105
 -0.044461  0.049484  1.004004
 -0.044004  0.049578  1.004168
 -0.043688  0.050539  1.004789
 -0.043070  0.050547  1.004562
 -0.042680  0.051098  1.004359
 -0.042406  0.051949  1.004500
 -0.047578  0.051344  1.004488
 -0.046797  0.052496  1.005105
 -0.046543  0.053031  1.005121
 -0.046027  0.054422  1.005023
 -0.045363  0.054777  1.004977
 -0.044895  0.055176  1.003988
 -0.044211  0.055543  1.004500
 -0.037875  0.056535  1.005320
 -0.036953  0.057676  1.003137
 -0.036312  0.057977  1.003977
 -0.036191  0.060047  1.004918
 -0.036320  0.059766  1.005484
 -0.037180  0.058781  1.006477
 -0.033422  0.068363  1.006086
 -0.034117  0.068891  1.001715
 -0.034262  0.068234  1.001867
 -0.036156  0.066945  1.006090
 -0.039617  0.065414  1.006840
 -0.043414  0.063160  1.005605
 -0.047344  0.060469  1.005488
 -0.030078  0.060875  1.004180
 -0.029258  0.060211  1.005449
 -0.030078  0.059887  1.005969
 -0.030805  0.058332  1.005258
 -0.032918  0.056578  1.005660
 -0.035766  0.055406  1.004477
 -0.036793  0.052316  1.002789
 -0.044727  0.052055  1.005004
 -0.043078  0.054250  1.005297
 -0.042145  0.056477  1.005590
 -0.040754  0.057809  1.005207
 -0.040320  0.059375  1.005844
 -0.040719  0.060867  1.005559
 -0.040594  0.061625  1.002535
 -0.045953  0.048477  1.001703
 -0.044758  0.049363  1.002770
 -0.043613  0.049746  1.002984
 -0.043133  0.050539  1.004129
 -0.042395  0.051078  1.004367
 -0.041836  0.051516  1.003793
 -0.042098  0.051676  1.003082
 -0.038316  0.055973  1.003176
 -0.036754  0.055898  1.004902
 -0.035023  0.056641  1.007418
 -0.034586  0.057461  1.007098
 -0.035922  0.057445  1.006887
 -0.036852  0.058434  1.006797
 -0.036461  0.057859  1.004699
 -0.051812  0.046227  1.005543
 -0.052141  0.046277  1.003594
 -0.051648  0.046695  1.003121
 -0.049922  0.045758  1.003402
 -0.051008  0.046621  1.006090
 -0.050949  0.047477  1.004984
 -0.049297  0.047637  1.003453
 -0.040676  0.053359  1.004926
 -0.040125  0.053566  1.004355
 -0.039340  0.053863  1.005492
 -0.040062  0.054844  1.007352
 -0.040387  0.055871  1.004125
 -0.040145  0.056348  1.003082
 -0.040758  0.056629  1.003586
 -0.045984  0.046711  1.001941
 -0.045293  0.046176  1.003465
 -0.045082  0.045469  1.005086
 -0.045719  0.045727  1.005984
 -0.000004 -0.000004  1.005125
 -0.000004 -0.000004 -0.000004
  1.294062  1.326012 -0.000004
  1.283062  1.456012 -1.044941
  1.203063  1.441012 -1.108941
  1.264063  1.472012 -1.023941
  1.221063  1.609012 -0.882941
  1.067062  1.518012 -1.084941
  1.122062  1.524012 -1.382941
  1.726063  0.189012 -1.035941
  1.748062  0.204012 -0.755941
  1.795063  0.152012 -0.503941
  1.753062  0.244012 -0.346941
  1.594062  0.334012 -0.397941
  1.508062  0.445012 -0.545941
  1.426062  0.604012 -0.669941
  0.786062  0.100012 -0.723941
  1.012063  0.111012 -0.532941
  1.090062  0.179012 -0.265941
  1.091063  0.372012 -0.405941
  1.172063  0.579012 -0.604941
  1.378062  0.702012 -0.669941
  1.493062  0.845012 -0.682941
  0.165063 -1.099988 -0.501941
  0.292062 -1.079988 -1.006941
  0.491062 -0.937988 -0.797941
  0.618062 -0.710988 -0.711941
  0.763062 -0.218988 -0.772941
  0.949063  0.294012 -0.934941
  1.184062  0.686012 -1.022941
  0.091063 -0.648988 -0.990941
  0.242062 -0.509988 -0.857941
  0.495063 -0.336988 -0.836941
  0.696063 -0.332988 -0.797941
  0.918063 -0.027988 -0.773941
  1.273062  0.205012 -0.842941
  1.580063  0.259012 -0.795941
  0.858063  0.508012 -0.636941
  0.699063  0.438012 -0.730941
  0.571063  0.281012 -0.611941
  0.523063  0.321012 -0.566941
  0.390063  0.189012 -0.614941
  0.286063  0.128012 -0.629941
  0.280062  0.127012 -0.711941
  1.033062  0.647012 -0.713941
  1.217062  0.630012 -0.755941
  1.429062  0.457012 -0.514941
  1.418062  0.562012 -0.361941
  1.391062  0.535012 -0.513941
  1.410063  0.556012 -0.370941
  1.415063  0.713012 -0.652941
  0.967062  0.405012 -0.657941
  0.967062  0.504012 -0.672941
  0.905062  0.522012 -0.676941
  0.857063  0.763012 -0.717941
  0.940063  0.936012 -0.949941
